1690,360
1740,360
1800,360
1900,380
2010,370
2090,370
2240,370
2360,370
2500,370
2640,420
2770,440
2890,440
3000,530
3070,670
3070,840
3100,1010
3100,1190
3130,1380
3150,1540
3150,1720
3170,1890
3140,2050
3100,2220
3090,2400
3020,2570
3020,2670
3010,2790
2990,2900
2990,3020
2990,3170
2990,3300
2990,3420
2990,3510
2980,3650
2980,3770
2980,3910
2970,4060
2960,4170
2970,4250
2960,4330
2950,4450
2950,4550
2950,4690
2950,4790
2950,4950
2960,5050
2960,5190
2960,5320
2990,5450
2990,5600
2970,5740
2950,5860
2930,5970
2860,6070
2800,6170
2730,6250
2650,6310
2600,6360
2530,6420
2400,6440
2340,6510
2220,6510
2100,6510
1990,6490
1860,6480
1810,6500
1660,6500
1540,6490
1380,6420
1270,6380
1230,6310
1130,6250
1070,6150
980,6040
970,6040
930,5900
910,5820
860,5670
850,5570
830,5460
820,5320
890,5200
910,5100
1020,5070
1080,5040
1160,4960
1290,4940
1400,4930
1580,4880
1680,4840
1850,4800
1970,4820
2070,4710
2190,4610
2190,4510
2180,4340
2180,4280
2160,4160
2140,4050
2120,4030
2030,4000
1920,3960
1640,3890
1770,3930
1460,3890
1320,3860
1200,3810
1090,3740
1030,3610
960,3510
940,3340
940,3230
940,3230
980,3140
1020,3030
1100,2970
1240,2990
1420,2950
1580,2900
1750,2820
1870,2780
1890,2750
2010,2650
2050,2590
2120,2440
2100,2350
2010,2240
2000,2160
1960,2050
1860,1980
1720,1910
1530,1890
1370,1860
1250,1800
1240,1790
1190,1750
1130,1650
1130,1550
1070,1430
1070,1330
1040,1210
1080,1030
1080,930
1160,850
1270,720
1300,650
1360,570
1450,500
1620,410
