0,0,3424,0
0,0,0,6924
3424,0,3424,6924
0,6924,3424,6924
0,2962,550,2962
0,2962,0,3000
550,2962,550,3000
0,3000,550,3000
550,1462,588,1462
550,1462,550,5500
588,1462,588,5500
550,5500,588,5500
588,2462,1588,2462
588,2462,588,2500
1588,2462,1588,2500
588,2500,1588,2500
588,4462,1588,4462
588,4462,588,4500
1588,4462,1588,4500
588,4500,1588,4500
2489,1462,2527,1462
2489,1462,2489,5500
2527,1462,2527,5500
2489,5500,2527,5500
1488,1462,2488,1462
1488,1462,1488,1500
2488,1462,2488,1500
1488,1500,2488,1500
1488,3462,2488,3462
1488,3462,1488,3500
2488,3462,2488,3500
1488,3500,2488,3500
1488,5462,2488,5462
1488,5462,1488,5500
2488,5462,2488,5500
1488,5500,2488,5500
